/*****************spider report ********************/
================= dispatcher:
connect_pool_size:100 connect_used_count:0

================= sites:
site0=>host:movie.douban.com;  dir:movie.douban.com;  hashsize:10000
unscraped_pages:0; scraping_pages:25; scraped_pages:0; parsed_pages:1792
138=>  status:3;  httpStatus:200;  hashCode:1342;  title:;  path:/people/ygy8245/;  parent:/subject/3821067/
139=>  status:3;  httpStatus:200;  hashCode:1270;  title:;  path:/subject/3726986/;  parent:/subject/3821067/
140=>  status:3;  httpStatus:200;  hashCode:1887;  title:;  path:/people/shoushouan/;  parent:/subject/3821067/
141=>  status:3;  httpStatus:200;  hashCode:1900;  title:;  path:/people/CyberKnight/;  parent:/subject/3821067/
142=>  status:3;  httpStatus:200;  hashCode:1573;  title:;  path:/people/yumulin/;  parent:/subject/3821067/
143=>  status:3;  httpStatus:200;  hashCode:2076;  title:;  path:/people/dongdongstar/;  parent:/subject/3821067/
144=>  status:3;  httpStatus:200;  hashCode:1718;  title:;  path:/people/Jessiewhb/;  parent:/subject/3821067/
145=>  status:3;  httpStatus:200;  hashCode:1146;  title:;  path:/people/2004909/;  parent:/subject/3821067/
146=>  status:3;  httpStatus:200;  hashCode:1873;  title:;  path:/people/movie24city/;  parent:/subject/3821067/
147=>  status:3;  httpStatus:200;  hashCode:2029;  title:;  path:/subject/3821067/reviews;  parent:/subject/3821067/
148=>  status:3;  httpStatus:200;  hashCode:1927;  title:;  path:/photos/photo/1814046723/;  parent:/subject/3821067/
149=>  status:3;  httpStatus:200;  hashCode:2746;  title:;  path:/subject/3821067/reviews?score=5;  parent:/subject/3821067/
150=>  status:3;  httpStatus:200;  hashCode:2745;  title:;  path:/subject/3821067/reviews?score=4;  parent:/subject/3821067/
151=>  status:3;  httpStatus:200;  hashCode:1177;  title:;  path:/review/5731998/;  parent:/subject/3821067/
152=>  status:3;  httpStatus:200;  hashCode:2744;  title:;  path:/subject/3821067/reviews?score=3;  parent:/subject/3821067/
153=>  status:3;  httpStatus:200;  hashCode:1165;  title:;  path:/review/5732535/;  parent:/subject/3821067/
154=>  status:3;  httpStatus:200;  hashCode:1657;  title:;  path:/people/yinxiang/;  parent:/subject/3821067/
155=>  status:3;  httpStatus:200;  hashCode:1158;  title:;  path:/review/5733221/;  parent:/subject/3821067/
156=>  status:3;  httpStatus:200;  hashCode:1580;  title:;  path:/people/luzhiyu/;  parent:/subject/3821067/
157=>  status:3;  httpStatus:200;  hashCode:1374;  title:;  path:/people/MovieL/;  parent:/subject/3821067/
158=>  status:3;  httpStatus:200;  hashCode:1218;  title:;  path:/people/45964596/;  parent:/subject/3821067/
159=>  status:3;  httpStatus:200;  hashCode:1175;  title:;  path:/review/5729782/;  parent:/subject/3821067/
160=>  status:3;  httpStatus:200;  hashCode:1912;  title:;  path:/people/zishuzishu/;  parent:/subject/3821067/
161=>  status:3;  httpStatus:200;  hashCode:2742;  title:;  path:/subject/3821067/reviews?score=1;  parent:/subject/3821067/
162=>  status:3;  httpStatus:200;  hashCode:1791;  title:;  path:/people/yuehuanyu/;  parent:/subject/3821067/
163=>  status:3;  httpStatus:200;  hashCode:1173;  title:;  path:/review/5748356/;  parent:/subject/3821067/
164=>  status:3;  httpStatus:200;  hashCode:1141;  title:;  path:/people/2031364/;  parent:/subject/3821067/
165=>  status:3;  httpStatus:200;  hashCode:1219;  title:;  path:/people/58742599/;  parent:/subject/3821067/
166=>  status:3;  httpStatus:200;  hashCode:1826;  title:;  path:/people/charlesdai/;  parent:/subject/3821067/
167=>  status:3;  httpStatus:200;  hashCode:1204;  title:;  path:/people/23481682/;  parent:/subject/3821067/
168=>  status:3;  httpStatus:200;  hashCode:2395;  title:;  path:/subject/3821067/discussion/;  parent:/subject/3821067/
169=>  status:3;  httpStatus:200;  hashCode:1211;  title:;  path:/people/17299463/;  parent:/subject/3821067/
170=>  status:3;  httpStatus:200;  hashCode:1275;  title:;  path:/doulist/1425383/;  parent:/subject/3821067/
171=>  status:3;  httpStatus:200;  hashCode:1646;  title:;  path:/people/melody1971/;  parent:/subject/3821067/
172=>  status:3;  httpStatus:200;  hashCode:1176;  title:;  path:/doulist/14891/;  parent:/subject/3821067/
173=>  status:3;  httpStatus:200;  hashCode:1225;  title:;  path:/doulist/730752/;  parent:/subject/3821067/
174=>  status:3;  httpStatus:200;  hashCode:1221;  title:;  path:/doulist/157322/;  parent:/subject/3821067/
175=>  status:3;  httpStatus:200;  hashCode:1215;  title:;  path:/people/52599546/;  parent:/subject/3821067/
